START application at (2014-9-5(SUN) 20:2:48)
  Execute SQL: SELECT date,content,category,price FROM income WHERE 1 ORDER BY date at (2014-9-5(SUN) 20:2:58)
    >> Select[
              2014-6-1, 外食(イタリアン), 食費, 5000
              2014-6-1, 展望台入場料, 遊興費, 700
              2014-6-1, キーホルダー, 交際費, 648
              2014-6-1, 水族館+プラネタリウム, 遊興費, 2700
              2014-6-1, 外食(パスタ), 食費, 2000
              2014-6-2, チャージ(食堂用), 食費, 3000
              2014-6-2, チャージ, 交通費, 2000
              2014-6-2, コンビニ, 食費, 1120
              2014-6-2, ガス代, 水道光熱費, 3091
              2014-6-3, スーパー, 食費, 2554
              2014-6-5, コンビニ, 食費, 906
              2014-6-6, エポスカード振込, 被服費, 26755
              2014-6-8, スポーツショップ, 被服費, 6183
              2014-6-8, スーパー, 食費, 1055
              2014-6-8, 宅配(PIZZA-LA), 食費, 2300
              2014-6-9, コンビニ, 食費, 1014
              2014-6-9, チャージ, 交通費, 2000
              2014-6-9, チャージ(食堂用), 食費, 3000
              2014-6-10, 外食(中華), 食費, 590
              2014-6-10, 自動販売機, 飲料費, 140
              2014-6-11, スーパー, 食費, 2061
              2014-6-12, 家賃, 住宅費, 89932
              2014-6-12, コンビニ, 食費, 463
              2014-6-12, チャージ, 交通費, 2000
              2014-6-13, さぼてん, 食費, 915
              2014-6-15, スーパー, 食費, 1720
              2014-6-15, ドラッグストア, 物品購入費, 1874
              2014-6-16, 電気代, 水道光熱費, 2030
              2014-6-16, コンビニ, 食費, 1070
              2014-6-16, チャージ(食堂用), 食費, 3000
              2014-6-17, ビリヤード, 娯楽費, 646
              2014-6-17, 銀だこ, 食費, 620
              2014-6-17, こころ亭, 食費, 541
              2014-6-18, チャージ, 交通費, 2000
              2014-6-18, マクド, 食費, 760
              2014-6-19, コンビニ, 食費, 619
              2014-6-20, スーパー, 食費, 2900
              2014-6-22, 外食(寿司), 食費, 950
              2014-6-22, ダーツ, 娯楽費, 400
              2014-6-22, 自動販売機, 飲料費, 160
              2014-6-22, 卓球, 娯楽費, 400
              2014-6-22, ビリヤード, 娯楽費, 1295
              2014-6-22, 外食(中華), 食費, 1410
              2014-6-23, チャージ(食堂用), 食費, 3000
              2014-6-23, コンビニ, 食費, 1160
              2014-6-24, つな八, 食費, 1155
              2014-6-25, パン屋, 食費, 637
              2014-6-25, キッチンジロー, 食費, 880
              2014-6-26, コンビニ, 食費, 1001
              2014-6-27, スーパー, 食費, 1354
              2014-6-27, クリーニング, 被服費, 400
              2014-6-28, 手数料, 手数料, 216
              2014-6-28, コンビニ, 食費, 422
              2014-6-29, 美容院, 美容費, 3888
              2014-6-29, ドラッグストア, 物品購入費, 1231
              2014-6-29, 読売新聞, 教養娯楽費, 3703
              2014-6-30, チャージ(食堂用), 食費, 3000
              2014-6-30, チャージ, 交通費, 2000
              2014-6-30, コンビニ, 食費, 889
              2014-6-30, UCOM, 通信費, 2916
              2014-7-1, ガス代, 水道光熱費, 2241
              2014-7-1, マクド, 食費, 833
              2014-7-2, コンビニ, 食費, 662
              2014-7-3, 外食(バイキング), 食費, 2190
              2014-7-5, チャージ, 交通費, 3000
              2014-7-5, 外食(うどん), 食費, 2019
              2014-7-5, クレープ, 食費, 613
              2014-7-5, 浅草寺, 娯楽費, 230
             ]
  Execute SQL: SELECT DISTINCT category FROM income; at (2014-9-18(SAT) 21:57:45)
  Execute SQL: SELECT DISTINCT category FROM expense; at (2014-9-18(SAT) 21:57:45)
  Execute SQL: SELECT date,content,category,price FROM expense WHERE content LIKE 'コンタクトレンズ' ORDER BY date at (2014-9-18(SAT) 21:58:0)
    >> Select[
              2014-4-12, コンタクトレンズ, 医療費, 9505
             ]
  Execute SQL: SELECT DISTINCT category FROM income; at (2014-9-18(SAT) 21:58:9)
  Execute SQL: SELECT DISTINCT category FROM expense; at (2014-9-18(SAT) 21:58:9)
  Execute SQL: SELECT date,content,category,price FROM expense WHERE category = '医療費' ORDER BY date at (2014-9-18(SAT) 21:58:28)
    >> Select[
              2014-4-12, 眼科, 医療費, 1450
              2014-4-12, コンタクトレンズ, 医療費, 9505
              2014-4-24, ドラッグストア, 医療費, 1051
             ]
END application at (2014-9-18(SAT) 21:58:35)
START application at (2014-9-31(FRI) 21:20:34)
  Execute SQL: SELECT date,content,category,price FROM income WHERE 1 ORDER BY date at (2014-9-31(FRI) 21:20:41)
    >> Select[
              2014-4-25, 給料, 給料, 255080
              2014-5-2, 引越時の往路代, 交通費, 13290
              2014-5-9, 交通費立替, 交通費, 13618
              2014-5-13, チャージ(食堂用)返金, その他, 140
              2014-5-23, 給料, 給料, 229273
              2014-6-6, 交通費立替, 交通費, 9666
              2014-6-25, 給料, 給料, 228144
              2014-7-4, ボーナス, 給料, 70930
              2014-7-8, 交通費立替, 交通費, 9072
             ]
  Execute SQL: SELECT date,content,category,price FROM expense WHERE 1 ORDER BY date at (2014-9-31(FRI) 21:20:41)
    >> Select[
              2014-4-1, チャージ, 交通費, 1000
              2014-4-1, 外食（ラーメン）, 食費, 930
              2014-4-2, コンビニ, 食費, 500
              2014-4-2, チャージ, 交通費, 1000
              2014-4-2, 外食（中華）, 食費, 800
              2014-4-3, コンビニ, 食費, 598
              2014-4-3, コンビニ, 食費, 556
              2014-4-4, コンビニ, 食費, 508
              2014-4-4, 外食（海鮮丼）, 食費, 800
              2014-4-5, チャージ, 交通費, 1000
              2014-4-5, コンビニ, 食費, 502
              2014-4-5, 外食（つけ麺）, 食費, 1020
              2014-4-6, 飲み会, 食費, 3355
              2014-4-6, コンビニ, 食費, 486
              2014-4-7, 外食（牛丼）, 食費, 290
              2014-4-7, クリーニング, 生活費, 1600
              2014-4-7, Tシャツ, 被服費, 3055
              2014-4-7, スーパー, 食費, 2655
              2014-4-8, コンビニ, 食費, 108
              2014-4-8, ガスト（宅配）, 食費, 1580
              2014-4-9, 外食（からあげ定食）, 食費, 660
              2014-4-9, 本, 娯楽費, 1764
              2014-4-10, 飲み会, 食費, 2500
              2014-4-10, コンビニ, 食費, 356
              2014-4-11, コンビニ, 食費, 362
              2014-4-11, 外食（ラーメン）, 食費, 680
              2014-4-11, 飲み会, 食費, 1890
              2014-4-11, チャージ, 交通費, 1000
              2014-4-12, 手数料, 手数料, 216
              2014-4-12, 眼科, 医療費, 1450
              2014-4-12, コンタクトレンズ, 医療費, 9505
              2014-4-12, スーパー, 食費, 2027
              2014-4-12, DVDレンタル, 娯楽費, 324
              2014-4-13, チャージ, 交通費, 1000
              2014-4-13, 外食（中華）, 食費, 800
              2014-4-13, コーヒー, 食費, 388
              2014-4-13, 本, 学費, 2905
              2014-4-14, コンビニ, 食費, 488
              2014-4-14, コンビニ, 食費, 609
              2014-4-15, 外食（ラーメン）, 食費, 830
              2014-4-15, チャージ（食堂用）, 食費, 3000
              2014-4-17, チャージ, 交通費, 1000
              2014-4-17, コンビニ, 食費, 503
              2014-4-17, 外食（鉄板焼）, 食費, 2540
              2014-4-17, コンビニ, 食費, 653
              2014-4-18, 飲み会, 食費, 3000
              2014-4-18, チャージ, 交通費, 2000
              2014-4-19, 家電, 物品購入費, 2783
              2014-4-19, 飲み会, 食費, 4000
              2014-4-19, 外食（マクド）, 食費, 638
              2014-4-20, 水道代, 水道光熱費, 1795
